"場所","(1)","(2)","(3)","(4)","(5)","(6)","(7)","(8)"
"換気扇直下からの距離(m)","6","5","4","3.9","2","1.2","1",""
"時間(分)／0－5","-","-","+","-","+","+","+","+"
"時間(分)／5－30","-","-","+","-","-","-","+","+"
"時間(分)／30－60","+","-","+","-","-","-","+","+"
"時間(分)／60－120","-","-","+","-","-","-","-","-"
