"年齢","人","平均値(μg)","標準偏差(μg)","パーセンタイル／1(μg)","パーセンタイル／5(μg)","パーセンタイル／10(μg)","パーセンタイル／25(μg)","パーセンタイル／50(中央値)(μg)","パーセンタイル／75(μg)","パーセンタイル／90(μg)","パーセンタイル／95(μg)","パーセンタイル／99(μg)"
"男性総数","205","7.1","7.8","0.4","1.1","1.3","2.4","4.3","8.6","16.5","21.2","35.5"
"1～2歳","4","6.5","9","0.3","0.5","0.9","1.9","2.9","7.5","14.9","17.4","19.3"
"3～5歳","5","2.5","0.9","1.3","1.4","1.6","2","2.4","3.1","3.4","3.5","3.6"
"6～7歳","6","2.9","0.8","1.9","2","2","2.2","2.8","3.5","3.7","3.7","3.8"
"8～9歳","3","4.4","4.2","1.3","1.5","1.6","2.1","2.8","6","7.9","8.5","9"
"10～11歳","5","4.4","3.6","1.4","1.4","1.6","1.9","2.5","6.6","8.4","9.1","9.6"
"12～14歳","8","6.1","5.4","0.9","1.1","1.4","1.8","4.9","7.9","12.5","14.5","16.1"
"15～17歳","6","4.1","1.7","1.6","1.8","2.2","3.1","4.3","5.1","5.8","6.1","6.3"
"18～29歳","20","7.4","11.6","0.7","1.1","1.6","2","3.6","6.8","15.7","22.8","45.9"
"30～49歳","42","5.9","5.8","0.4","1.1","1.3","2.6","3.9","7","14.9","16.3","25.1"
"50～69歳","60","8.2","7.9","0.9","1.1","1.5","3","5.7","10.3","16.7","28.8","34.8"
"70歳以上","46","8.8","9","0.7","1.1","1.3","2.2","6.4","10.6","18","24.4","38.7"
"女性総数","228","5.9","6","0.3","0.8","1.2","2","3.9","7.3","14.9","18","27.8"
"1～2歳","3","3.6","1.5","2.1","2.2","2.3","2.8","3.6","4.3","4.8","4.9","5"
"3～5歳","2","1.8","0.7","1.3","1.3","1.4","1.5","1.8","2","2.2","2.2","2.3"
"6～7歳","6","2.3","1","1.4","1.5","1.5","1.6","1.8","2.8","3.5","3.8","3.9"
"8～9歳","4","3","1.5","2","2","2","2.2","2.5","3.4","4.5","4.8","5.1"
"10～11歳","1","2.3","0","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3"
"12～14歳","8","4.7","5","1.9","1.9","1.9","2","2.2","4.4","10","13.1","15.6"
"15～17歳","7","6.7","7","1.1","1.3","1.4","1.7","3.1","10.8","16.5","17","17.4"
"18～29歳","17","6.3","5.4","0.3","0.4","1","2.2","5.3","8.3","13.7","17.8","18.5"
"30～49歳","60","5.2","5.1","0.5","0.9","1.3","2","3.2","6.4","11","16","21.6"
"50～69歳","71","6.7","5.8","0.5","0.8","1.6","2.5","5.5","8.9","14.8","16.9","23.9"
"70歳以上","49","6.6","8","0.3","0.8","1","1.6","3.9","6.3","17.7","25.5","32.4"
"(再掲)妊婦","1","9.5","0","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5"
"授乳婦","1","3.8","0","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8"
