"年度","身体就職者数(人)","身体就職率(%)","知的就職者数(人)","知的就職率(%)","精神就職者数(人)","精神就職率(%)","その他就職者数(人)","その他就職率(%)","合計就職者数(人)","合計就職率(%)",
"24","2027","24.2","1360","40.3","1670","24.5","104","19.5","5161","27.0",
"25","2158","27.9","1495","46.3","2150","29.4","113","18.8","5916","31.3",
"26","1952","27.0","1496","45.9","2472","30.3","132","21.8","6052","31.4",
"27","1962","29.2","1541","46.7","2662","29.8","157","19.4","6322","32.0",
"28","1873","29.8","1509","45.4","2938","30.5","174","21.5","6494","32.4",
