"","企業数（社）","実雇用率（％）","法定雇用率達成企業数（社）","構成比（％）","法定雇用率未達成企業数（社）","構成比（％）"
"50～299人","13416","0.99","3812","28.4","9604","71.6"
"300～999人","3010","1.62","944","31.4","2066","68.6"
"1,000人～","1401","2.02","637","45.5","764","54.5"
"合計","17827","1.77","5393","30.3","12434","69.7"
