"","平成26年度(人数)","平成26年度(％)"
"総数（n=3357）","287","8.5"
"男子（ｎ＝1583）","142","9.0"
"女子（ｎ＝1555）","124","8.0"
"性別無回答（n=219）","21","9.6"
"無回答","78",""
