"","H19年度","H20年度","H21年度","H22年度","H23年度","H24年度","H25年度","H26年度（第３期目標）"
"都（％）","73.8","73.9","75.3","76","74.5","73.7","","76"
"全国（％）","71","71.2","71.2","71.4","71.1","70.9","",""
