"","H20.5-H21.4／n=43241(%)","H21.5-H22.4／n=26722(%)","H22.5-H23.4／n=36998(%)","H23.5-H24.4／n=35157(%)"
"利用している","15.9","11.4","14.2","12.3"
"知っているが利用ていない","39.9","41.6","41.7","40.8"
"知らない","44.2","47.1","44.1","46.9"
