"","0人(％)","1人(％)","2人(％)","3人(％)","4人以上(％)","わからない(％)"
"総数(5494人)","0.5","1.6","34.8","52.3","7.4","3.3"
"20～29歳(444人)","1.4","2.5","52.7","38.1","2.1","3.4"
"30～39歳(841人)","0.5","3.1","45.8","43.9","3.2","3.6"
"40～49歳(869人)","0.8","1.7","37.3","51.4","6.2","2.5"
"50～59歳(1172人)","0.4","1.2","31.5","55.3","7.7","3.9"
"60～69歳(1203人)","0.2","0.7","30.0","56.8","9.8","2.4"
"70歳以上(965人)","0.3","1.1","25.0","57.9","11.7","3.9"
