"","平成17年(園)","平成18年(園)","平成19年(園)","平成20年(園)","平成21年(園)","平成22年(園)","平成23年(園)","平成24年(園)","平成25年(園)","平成26年(園)"
"合計","1100","1095","1084","1080","1064","1057","1051","1042","1039","1023"
"私立","874","870","868","865","861","858","854","850","848","840"
"国公立","226","225","216","215","203","199","197","192","191","183"
