"","身体障害者2,659人(%)","知的障害者810人(%)","精神障害者537人(%)","難病患者1,034人(%)"
"コンサートや映画、スポーツなどの鑑賞、見物","27.8","36.9","38.0","37.8"
"スポーツやレジャーなどの活動","18.9","33.1","","24.7"
"趣味の活動（スポーツ、文化的）","","","30.4",""
