"","問3-4で「１.受け入れる」と回答した施設数","１預かる／施設数","１預かる／割合","２預からない／施設数","２預からない／割合","３決まっていない／施設数","３決まっていない／割合","無回答／施設数","無回答／割合"
"認可保育所＊","1272","1034","81.3","6","0.5","7","0.6","225","17.7"
"認証保育所＊","230","163","70.9","4","1.7","5","2.2","58","25.2"
"認定こども園＊","55","46","83.6","1","1.8","","","8","14.5"
"幼稚園＊","362","306","84.5","14","3.9","9","2.5","33","9.1"
"ベビーホテル","94","76","80.9","1","1.1","3","3.2","14","14.9"
"家庭的保育","33","14","42.4","1","3.0","1","3.0","17","51.5"
"学童保育","1053","504","47.9","342","32.5","45","4.3","162","15.4"
"上記以外の施設","128","75","58.6","8","6.3","9","7.0","36","28.1"
"総数","3227","2218","68.7","377","11.7","79","2.4","553","17.1"
"＊前回調査施設 (再掲）","1919","1549","80.7","25","1.3","21","1.1","324","16.9" 
