"区分","平成23年度(%)","平成24年度(%)","平成25年度(%)","平成26年度(%)","平成27年度(%)",
"就業率/東京都","41.8","43.1","43.3","44.4","46.4",
"就業率/全国","28.4","30.2","31.1","31.5","32.1",
