"","電話(％)","電気(％)","ガス(％)","水道(％)","家賃(％)","住宅ローン(％)","その他債務(％)"
"困窮層","30.7","29.0","29.0","30.8","20.1","6.7","29.2"
"周辺層","6.6","5.7","5.1","4.8","4.3","2.5","8.8"
"一般層","0.0","0.0","0.0","0.0","0.0","0.3","1.1"
