"(単位 件 人 ％)","相談件数","内訳／平日","内訳／土日祝日","求人登録者数","求人数","就職者数","うち正社員就職者数／人数","うち正社員就職者数／就職者に占める割合"
"H21","2443","2119","324","277","194","111","22","19.8"
"H22","2644","2325","319","203","485","83","17","20.5"
"H23","3005","","","178","294","91","29","31.9"
"H24","2614","2392","222","177","1428","95","30","31.6"
"H25","4047","3878","169","263","2464","112","24","21.4"
