"","n=7939"
"就労中(常勤)(人)","2686"
"就労中(常勤)(％)","33.8"
"就労中(非常勤)(人)","1712"
"就労中(非常勤)(％)","21.6"
"求職中(人)","2915"
"求職中(％)","36.7"
"その他(出産・看護)(人)","626"
"その他(出産・看護)(％)","7.9"
