"年度","よくある(%)","ときどきある(%)","ほとんどない(%)","まったくない(%)","無回答(%)"
"19","0.9","9.1","33.9","55.3","0.7"
"14","0.7","9.4","33.6","54.0","2.2"
"9","0.2","8.5","27.0","63.8","0.5"
