"","学校でやっていないから(％)","家の事情（家族の世話、家事など）(％)","塾、スポーツ、習い事等で時間がない(％)","興味がないから(％)","必要がないから(％)","補習教室のことを知らなかったから(％)","その他の理由(％)","無回答(％)"
"小学5年生","22.2","1.2","18.4","14.7","31.8","5.3","4.0","2.4"
"中学2年生","15.0","1.7","20.3","19.9","35.9","2.0","4.3","1.0"
