"","悪い影響がある","何らかの影響はある","良い影響がある","よくわからない"
"小学6年生／n=297(人)","226","60","1","10"
"小学6年生／n=297(%)","76.1","20.2","0.3","3.4"
"中学3年生／n=309(人)","223","77","2","7"
"中学3年生／n=309(%)","72.2","24.9","0.6","2.3"
