"","20年度","21年度","22年度","24年度","25年度"
"中学校男子体力合計点平均","38.59","38.51","38.66","40.16","39.50"
"中学校女子体力合計点平均","45.21","45.01","45.78","47.61","46.21"
"中学校男子都道府県順位","44","46","46","41","47"
"中学校女子都道府県順位","42","43","41","33","44"
