"","喫煙する友人なし","喫煙する友人あり"
"喫煙経験なし（小学6年生）／n=293(人)","272","21"
"喫煙経験なし（小学6年生）／n=293(%)","92.8","7.2"
"喫煙経験なし（中学3年生）／n=307(人)","247","60"
"喫煙経験なし（中学3年生）／n=307(%)","80.5","19.5"
"喫煙経験あり（小学6年生）／n=5(人)","1","4"
"喫煙経験あり（小学6年生）／n=5(%)","20.0","80.0"
"喫煙経験あり（中学3年生）／n=7(人)","2","5"
"喫煙経験あり（中学3年生）／n=7(%)","28.6","71.4"
