"","男子／A群","男子／A群","男子／B群","男子／B群","男子／C群","男子／C群","男子／D群","男子／D群","男子／群","男子／年度","男子／群×年度","女子／A群","女子／A群","女子／B群","女子／B群","女子／C群","女子／C群","女子／D群","女子／D群","女子／群","女子／年度","女子／群×年度"
"<％0.75秒量>／8年","98.9","11.8","99.1","12.4","99.7","11.7","99.2","11.9","","","","99.5","12.5","101.2","20.9","99.8","11.9","99.5","12.6","","",""
"<％0.75秒量>／9年","98.3","10.8","98.3","10.9","98.4","11.3","99.4","11.5","","","","99.3","11.9","99.6","11.8","99.9","12.2","100.1","11.9","","",""
"<％0.75秒量>／10年","99.4","11.8","100.0","11.0","98.5","11.0","99.3","11.0","","","","100.9","12.2","101.1","11.8","100.1","12.2","100.4","11.8","","",""
"<％0.75秒量>／11年","98.1","10.8","99.5","10.7","98.8","11.0","98.7","11.9","","","","98.1","12.7","99.1","11.5","99.4","12.6","97.8","12.0","","",""
"<％0.75秒量>／p値","","","","","","","","","0.505","0.257","0.656","","","","","","","","","0.372","0.000","0.648"
"＜％V25＞／7年","102.3","30.2","101.8","31.1","99.8","27.8","98.2","28.2","","","","101.6","29.8","103.1","28.4","99.8","32.1","101.5","28.6","","",""
"＜％V25＞／8年","99.7","29.7","98.5","29.2","100.9","29.7","97.9","27.8","","","","100.3","29.8","102.6","35.0","100.5","28.5","99.7","31.1","","",""
"＜％V25＞／9年","97.4","28.4","97.3","29.7","99.5","29.7","97.8","28.9","","","","101.1","27.9","101.7","29.0","100.9","29.7","101.2","29.7","","",""
"＜％V25＞／10年","99.2","30.0","101.0","30.3","99.5","29.2","97.3","28.8","","","","104.7","29.7","103.8","30.1","100.9","29.9","100.0","29.4","","",""
"＜％V25＞／11年","100.1","29.0","101.2","31.4","99.6","28.0","98.5","29.7","","","","99.9","30.1","99.8","28.5","98.5","29.6","96.7","29.2","","",""
"＜％V25＞／p値","","","","","","","","","0.052","0.199","0.844","","","","","","","","","0.058","0.028","0.876"
