"","毎日(％)","週に３～４日(％)","週に１～２日(％)","そこでは全く過ごさない(％)","無回答(％)"
"自分の家","28.7","14.5","38.3","9.1","9.4"
"友達の家","0.1","0.6","11.9","73.3","14.1"
"塾や習い事","1.4","8.6","25.9","50.3","13.9"
"児童館など","0.4","1.4","5.7","78.0","14.5"
"学校（部活など）","28.8","39.1","15.8","10.7","5.6"
"スポーツクラブ（野球場など）","2.4","5.0","6.5","72.4","13.7"
"公園","0.4","1.1","10.7","73.8","14.0"
"図書館","0.2","0.8","7.5","77.5","14.0"
"商店街やショッピングモール","0.3","1.4","13.7","70.4","14.2"
"ゲームセンター","0.1","0.8","5.8","79.1","14.2"
"その他","0.4","0.8","1.3","58.7","38.7"
