"","第1子／平成12年(%)","第1子／平成2年(%)","第1子／増減(%)","第2子／平成12年(%)","第2子／平成2年(%)","第2子／増減(%)","第3子／平成12年(%)","第3子／平成2年(%)","第3子／増減(%)"
"東京都","53.2","48.6","4.6","35.0","36.9","-1.9","9.7","12.3","-2.6"
"全国","49.0","43.5","5.5","36.5","37.6","-1.1","11.8","15.8","-4.0"
