"","大変満足(%)","満足(%)","やや満足(%)","どちらともいえない(%)","やや不満(%)","不満(%)","非常に不満(%)","無回答(%)","サンプル数","平均"
"TOTAL","7.6","24.3","22.2","27.3","8.8","5.2","","","8214","0.7"
"正規職員","8.4","24.5","22.2","26.7","8.6","5.4","","","4702","0.7"
"有期契約職員フルタイム","6.3","21.6","22.7","29.7","9.6","6.0","","","886","0.6"
"有期契約職員パートタイム","6.8","25.2","22.2","27.8","9.1","4.6","","","2536","0.7"
