"","小学6年生(人)","小学6年生(%)","中学3年生(人)","中学3年生(%)"
"0日","206","68.2","193","61.3"
"1～2日","35","11.6","27","8.6"
"3～4日","11","3.6","8","2.5"
"5～6日","7","2.3","9","2.9"
"毎日","37","12.3","72","22.8"
"無記入","6","2.0","6","1.9"
"合計","302","100.0","315","100.0"
