"","希望額(万円)","","希望額(万円)","","実態額(万円)"
"再就業時希望額全体","255.8","","","現在保育士実態全体","212.4"
"過去正規職員の希望額","269.8","正規職員雇用のみ希望者の希望額","307.3","現在正規職員実態額","269.2"
"過去有期契約職員（ﾌﾙﾀｲﾑ）の希望額","253.2","パート・非常勤雇用のみ希望者の希望額","154.9","現在有期契約職員（ﾌﾙﾀｲﾑ）実態額","206.2"
"過去有期契約社員（ﾊﾟｰﾄﾀｲﾑ）の希望額","225.9","","","現在有期契約職員（ﾊﾟｰﾄﾀｲﾑ）実態額","104.1"
