"","施設総数","１預かる／施設数","１預かる／割合","２預からない／施設数","２預からない／割合","無回答／施設数","無回答／割合"
"認可保育所＊","1588","1367","86.1","177","11.1","44","2.8"
"認証保育所＊","527","406","77.0","104","19.7","17","3.2"
"認定こども園＊","95","65","68.4","26","27.4","4","4.2"
"幼稚園＊","666","379","56.9","254","38.1","33","5.0"
"ベビーホテル","331","183","55.3","130","39.3","18","5.4"
"家庭的保育","596","161","27.0","283","47.5","152","25.5"
"学童保育","1169","337","28.8","793","67.8","39","3.3"
"上記以外の施設","376","220","58.5","132","35.1","24","6.4"
"総数","5348","3118","58.3","1899","35.5","331","6.2"
"＊前回調査施設 (再掲）","2876","2217","77.1","561","19.5","98","3.4" 
