"","H17年10月","H19年度末","H20年度末","H21年度末","H22年度末","H23年度末","H24年度末","H25年度末","H26年度末（目標）／（第３期目標）"
"定員数(人)","7344","7589","7576","7443","7451","7418","7374","7413","7344"
"定員数／都内(人)","4133","4382","4372","4267","4278","4268","4224","4264",""
"定員数／都外(人)","3211","3207","3204","3176","3173","3150","3150","3149",""
