"","島しょ全体(人)","島しょ全体(%)","大島出張所管内(人)","大島出張所管内(%)","大島町(人)","大島町(%)","利島村(人)","利島村(%)","新島村(人)","新島村(%)","神津島村(人)","神津島村(%)"
"男性／350ｇ未満","697","76.2","348","72.8","158","70.9","34","85.0","92","68.7","64","79.0"
"男性／350ｇ以上","218","23.8","130","27.2","65","29.1","6","15.0","42","31.3","17","21.0"
"女性／350ｇ未満","726","68.6","372","67.3","167","67.9","28","82.4","118","64.1","59","66.3"
"女性／350ｇ以上","333","31.4","181","32.7","79","32.1","6","17.6","66","35.9","30","33.7"
