"年度","平成9年度","平成10年度","平成11年度","平成12年度","平成13年度","平成14年度","平成15年度","平成16年度","平成17年度","平成18年度","平成19年度","平成20年度","平成21年度","平成22年度"
"1級","3308","4109","4625","5364","5733","6123","6649","7331","7333","6230","5958","5392","5852","6021"
"2級","4453","5636","7160","8610","10316","12349","14469","18604","22352","22296","24801","25134","31621","34697"
"3級","1659","2132","2385","2958","3596","4819","5905","8500","11159","11597","14299","14586","18395","21162"
"総数","9420","11877","14170","16932","19645","23291","27023","34435","40844","40123","45058","45112","55868","61880"
