"","とても思う(％)","思う(％)","あまり思わない(％)","思わない(％)","無回答(％)"
"Ａ頑張れば、むくわれる","26.6","47.5","18.9","5.6","1.4"
"Ｂ自分は価値のある人間だと思う","16.7","43.4","28.7","9.1","2.1"
"Ｃ自分は家族に大事にされていると思う","48.6","42.0","6.3","1.5","1.6"
"Ｄ自分は友だちに好かれていると思う","20.3","58.0","16.1","3.7","1.8"
"Ｅ不安に感じることはないと思う","11.6","29.4","37.0","20.4","1.6"
"Ｆ孤独を感じることはない","21.5","39.7","25.3","11.7","1.8"
"Ｇ自分の将来が楽しみだ","21.3","38.7","28.2","10.2","1.6"
"Ｈ毎日の生活が楽しい","29.8","49.7","15.3","3.6","1.6"
"Ｉ自分のことが好きだ","19.4","40.7","25.8","12.3","1.8"
