"","団塊世代人口(万人)","団塊世代人口比率(%)"
"東京都","62","9.1"
"神奈川県","45","6.7"
"千葉県","34","5.0"
"埼玉県","39","5.8"
"大阪府","49","7.2"
"全国","678","100"
