"","全施設（n=1014）","認可保育所＊（n=574）","認証保育所＊（n=150）","認定こども園＊（n=22）","幼稚園＊（n=79）","ベビーホテル（n=44）","家庭的保育（n=32）","学童保育（n=69）","上記以外の施設（n=45）","＊前回調査施設 （再掲）（n=825）"
"誤食(%)","34.1","30.0","31.3","54.5","49.4","29.5","16.1","68.1","24.4","32.7"
"初発(%)","64.9","70.7","67.3","45.5","46.8","68.2","61.3","30.4","75.6","67.2"
"無回答(%)","","","","","","","","",""," "
