"","開講期間","受講者(人)","修了者(人)"
"1期","H22.9～H23.8","60","50"
"2期","H23.4～H24.3","60","51"
"3期","H24.3～H25.3","60","51"
"4期","H25.3～H26.3","60","47"
"5期","H26.3～H27.3","60","48"
