"(単位 件 千円 ％)","全体／件数","全体／金額","修学資金／件数","修学資金／金額","修学資金／割合","就学支度資金／件数","就学支度資金／金額","就学支度資金／割合"
"H21","7981","4076270","5754","3151189","77.3","1699","693886","17.0"
"H22","8033","4090959","5960","3210396","78.5","1538","652094","15.9"
"H23","7708","4062452","5814","3228517","79.5","1422","619703","15.3"
"H24","7240","3899955","5542","3137505","80.4","1302","574479","14.7"
"H25","6797","3676675","5237","2956660","80.4","1231","562090","15.3"
