"年齢","男／人","男／平均値","男／標準偏差","女／人","女／平均値","女／標準偏差"
"総数","144","23.50","3.30","164","21.80","3.80"
"15～19歳","6","21.10","2.40","5","20.20","3.90"
"20～29歳","11","22.80","1.90","13","19.60","1.70"
"30～39歳","19","24.30","4.10","8","20.60","2.50"
"40～49歳","22","25.10","3.00","39","21.50","4.20"
"50～59歳","17","24.50","3.90","26","22.70","5.40"
"60～69歳","30","23.80","2.70","41","22.10","3.00"
"70歳以上","39","22.30","3.30","32","22.60","3.00"
"(再掲)20歳以上","138","23.70","3.30","159","21.90","3.80"
"(再掲)20～69歳","99","24.20","3.20","127","21.70","3.90"
"(再掲)40～69歳","69","24.40","3.10","106","22.00","4.10"
"(再掲)65～69歳","20","23.90","2.90","22","21.90","2.90"
"(再掲)70～74歳","19","23.20","2.90","11","21.90","2.90"
"(再掲)75～79歳","13","20.90","3.10","13","22.90","3.20"
"(再掲)80～84歳","6","22.80","4.20","5","22.80","3.00"
"(再掲)80歳以上","7","22.30","4.10","8","23.20","3.20"
"(再掲)85歳以上","1","19.00","0.00","3","23.80","4.10"
