"","使ってみたい(％)","興味がある(％)","使いたくない(％)","使う必要はない(％)","無回答(％)"
"全体","34.4","24.2","6.0","33.1","2.2"
"困窮層","36.2","30.3","7.2","24.9","1.4"
"周辺層","40.2","25.0","3.3","30.3","1.2"
"一般層","33.0","23.8","6.6","34.8","1.7"
