"年度","よくある(%)","ときどきある(%)","ほとんどない(%)","まったくない(%)","無回答(%)"
"24","69.3","27.8","1.7","0.5","0.5"
"19","60.8","36.1","2.3","0.5","0.3"
"14","55.1","40.2","3.5","0.6","0.7"
