"","事業所名","平成27年度／定員","平成27年度／対象者延人数","平成27年度／工賃支払総額","平成27年度／工賃平均額"
"1","豊芯会フードサービス事業部","15","19100","19225087","1006.5"
"2","こぶし事業所","17","28560","25693433","899.6"
"3","かすたねっと","20","8208","7544448","919.2"
"4","クリーニングフランセ","20","17826","16018607","898.6"
"5","就労継続支援Ａ型事業所かがやき","24","12387","11153606","900.5"
"6","自立支援センターまめの樹","27","26775","24364841","910.0"
"7","コロニー東村山","15","18557","22979549","1238.3"
"8","ワークセンターけやき","10","7261","6869306","946.1"
"9","プロシード","10","16283","15447140","948.7"
"10","うきま幸朋苑ブレッド＆バター","12","9999","9079057","908.0"
"11","竹の塚ひまわり園","13","16837","15110286","897.4"
"12","しごとも","30","26786","29022470","1083.5"
"13","ワークショップハーモニー","32","5880","6515124","1108.0"
"14","カフェフレンド","10","18410","17978000","976.5"
"15","ともにー","20","42909","41338684","963.4"
"16","パン工房プクプク","20","13040","11096347","850.9"
"17","綾瀬ひまわり園","10","14532","13569951","933.8"
"18","コロニー中野","10","11520","13489300","1170.9"
"19","西府いこいプラザ","10","6137","6662251","1085.6"
"20","クローバーズ・ピア日本橋","80","33451","30528209","912.6"
"21","中央区立知的障害者生活支援施設レインボーハウス明石","10","6019","5401067","897.4"
"22","ぽむの樹","10","7624","6768301","887.8"
"23","福祉工場しながわ","40","62521","54123728","865.7"
"24","銀杏","10","11581","10652285","919.8"
"25","アイエスエフネットライフ青山","52","81220","92552704","1139.5"
"26","ベジティア合同会社","20","22529","20455691","908.0"
"27","きせん事業所","10","7358","6762810","919.1"
"28","スワンカフェ＆ベーカリー町田２号店","20","14821","14388780","970.8"
"29","わくわく配食サービス","15","13366","13574319","1015.6"
"30","ストローク・サービス","13","17867","18758230","1049.9"
"31","社会福祉法人東京コロニー東京都大田福祉工場","30","45038","73166009","1624.5"
"32","東京都板橋福祉工場就労継続支援Ａ型事業所","20","18912","32130577","1699.0"
"33","谷在家福祉作業所","10","10229","10043185","981.8"
"34","社会福祉法人東京コロニー東京都葛飾福祉工場","40","67666","149635104","2211.4"
"35","レッツ・エンジョイ","20","24609","21863354","888.4"
"36","ＥＯＳファーム日本橋","20","15287","15368905","1005.4"
"37","アイエスエフネットベネフィット青山","20","34032","32981049","969.1"
"38","あかねっこ弁当","30","10598","9619473","907.7"
"39","東京ソテリアエンプロイメント","20","12323","12789182","1037.9"
"40","みくま","10","10249","9424015","919.5"
"41","めぐろ","20","33107","31974457","965.8"
"42","三鷹ひまわり第一共同作業所","10","","",""
"43","ワークワーク東京","10","8669","8838847","1019.6"
"44","びおら株式会社地域貢献事業部","10","3553","3134380","882.3"
"45","あしか","30","24905","22436623","900.9"
"46","作業所スカイ","10","11329","8496409","750.0"
"47","すくらむ事業所","13","18216","16211347","890.0"
"48","大滝チャレンジド","18","23186","20812348","897.6"
"49","オフィスサプライ東京","10","16269","14542142","893.9"
"50","滝山事業所","11","16706","16522475","989.0"
"51","アイリス","20","35814","32094277","896.1"
"52","スワンカフェ＆ベーカリー町田１号店","20","16497","16239620","984.4"
"53","シエル","20","32220","28737256","891.9"
"54","ステップアップともにー","20","31623","29437096","930.9"
"55","ナチュラルプランツ・サポート","15","15326","14278299","931.6"
"56","こもれび赤坂本社","25","20348","18524630","910.4"
"57","草むらde夢（畑deきっちん）","15","16565","15803523","954.0"
"58","イーストフライト","10","10045","8208079","817.1"
"59","赤オニの家","14","6815","5932573","870.5"
"60","就労継続支援A型エヴリィ","10","6175","7682712","1244.2"
"61","きぼう工房東くるめ","10","1771","1680004","948.6"
"62","こうめ","20","23583","21776438","923.4"
"63","ハートエース","20","32535","30911532","950.1"
"64","立川おりおん","20","22579","20623973","913.4"
"65","自立支援塾ぱん工房","10","8605","7868617","914.4"
"66","阿梨ヶ舎","20","15185","13633156","897.8"
"67","フリージア","20","16978","15227104","896.9"
"68","ラトリエソサイエティ","20","20064","18197878","907.0"
"69","アップドラフト","20","17710","15918975","898.9"
"70","フロー・ネット","24","12021","9032590","751.4"
"71","エコミラ江東","20","19371","17276242","891.9"
"72","ラピス","20","11235","10226176","910.2"
"73","アトリエ・レダクラフト","20","3220","2889204","897.3"
"74","ワークプレイスぶんぶん","10","3929","3591697","914.3"
"75","明日楽","20","16402","14916862","909.5"
"76","はちす","10","6291","5643762","897.1"
"77","えがおワークス","20","5148","4684910","910.0"
"78","くじら","20","11138","10057863","903.0"
"79","すまいる・さぽーと品川","20","6875","6209020","903.1"
"80","ヒューマングロー亀戸","20","12369","11830000","956.4"
"81","ホープ就労支援センター渋谷","20","8856","8044446","903.8"
"82","プレスト池上","20","1117","1013119","907.0"
"83","Scopo","10","1519","1381267","909.3"
"84","ウィズミー","20","5267","4776710","906.9"
"85","就労支援事業所コイノニア","10","1460","1327016","908.9"
"86","東京都育成会クリーンサービス","12","1429","1300390","910.0"
"87","ダイニング街なか","10","4110","3733550","908.4"
"88","アース","20","4195","3804868","907.0"
"89","ディーセント・ワーク平山台","23","4667","4076692","873.5"
"90","ぽぷら八王子","10","5872","5445165","927.3"
"91","のんの","10","0","0","0.0"
"","","","1501173","1551150783","1033.3"
