"","0～3歳","4～6歳","7～9歳","10～12歳","13～15歳","16～18歳","不明(18歳未満)"
"全体(120)(%)","28.3","19.2","14.2","20.0","10.0","4.2","4.2"
"男性(52)(%)","28.8","21.2","15.4","15.4","13.5","1.9","3.8"
"女性(68)(%)","27.9","17.6","13.2","13.2","7.4","5.9","4.4"
