"","平日／夫／共働き(分)","平日／夫／夫が有業で妻が無業(分)","平日／妻／共働き(分)","平日／妻／夫が有業で妻が無業(分)","土曜／夫／共働き(分)","土曜／夫／夫が有業で妻が無業(分)","土曜／妻／共働き(分)","土曜／妻／夫が有業で妻が無業(分)","日曜／夫／共働き(分)","日曜／夫／夫が有業で妻が無業(分)","日曜／妻／共働き(分)","日曜／妻／夫が有業で妻が無業(分)"
"家事","10","4","169","259","18","13","178","206","21","17","182","200"
"育児","19","23","125","248","50","55","145","203","61","65","124","170"
