"食品群別","エネルギー／kcal","エネルギー／寄与率(%)","たんぱく質／ｇ","たんぱく質／寄与率(%)","脂質／ｇ","脂質／寄与率(%)","食塩相当量／ｇ","食塩相当量／寄与率(%)","カリウム／ｍｇ","カリウム／寄与率(%)","カルシウム／mg","カルシウム／寄与率(%)","鉄／mg","鉄／寄与率(%)","ビタミンA／ugRE","ビタミンA／寄与率(%)","ビタミンB1／mg","ビタミンB1／寄与率(%)"
"その他の野菜","37","2","1.5","2.2","0.3","0.5","0","0.4","239","10.6","40","7.9","0.4","6","8","1.5","0.05","5.4"
"キャベツ","6","0.3","0.3","0.4","0.1","0.1","0","0","39","1.7","11","2.1","0.1","0.9","1","0.2","0.01","0.9"
"きゅうり","1","0.1","0.1","0.1","0","0","0","0","18","0.8","2","0.5","0","0.4","3","0.5","0","0.3"
"大根","4","0.2","0.1","0.1","0","0","0","0.1","48","2.1","6","1.1","0.1","0.7","0","0","0","0.5"
"たまねぎ","10","0.5","0.3","0.4","0","0.1","0","0","36","1.6","6","1.1","0.1","0.9","0","0","0.01","1.1"
"はくさい","2","0.1","0.1","0.1","0","0","0","0","20","0.9","5","1","0","0.5","1","0.2","0","0.2"
"その他の淡色野菜","15","0.8","0.7","1","0.2","0.3","0","0.2","79","3.5","11","2.2","0.2","2.7","3","0.6","0.02","2.3"
"野菜ジュース","5","0.3","0.1","0.1","0","0","0","0.3","29","1.3","6","1.2","0.1","0.8","43","8","0","0.5"
"漬け物","5","0.2","0.2","0.3","0","0.1","0.5","5.3","41","1.8","6","1.2","0.1","1.1","2","0.4","0.01","1.6"
"葉類漬け物","1","0.1","0.1","0.1","0","0","0.1","0.8","11","0.5","2","0.5","0","0.3","2","0.3","0","0.2"
"たくあん･その他の漬け物","3","0.2","0.1","0.2","0","0.1","0.4","4.5","30","1.3","4","0.8","0.1","0.8","0","0.1","0.01","1.4"
"果実類","66","3.6","0.6","0.9","0.4","0.6","0","0","197","8.7","10","2","0.2","2.5","28","5.2","0.05","5.6"
"生果","57","3.1","0.6","0.8","0.3","0.6","0","0","179","7.9","9","1.8","0.2","2.2","27","5.1","0.04","4.9"
"イチゴ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"柑橘類","9","0.5","0.1","0.2","0","0","0","0","30","1.3","4","0.8","0","0.5","17","3.2","0.02","2.2"
"バナナ","14","0.7","0.2","0.3","0","0.1","0","0","57","2.5","1","0.2","0","0.7","1","0.2","0.01","0.9"
"りんご","10","0.5","0","0.1","0","0","0","0","20","0.9","1","0.1","0","0","0","0.1","0","0.4"
"その他の生果","24","1.3","0.2","0.3","0.3","0.5","0","0","72","3.2","4","0.7","0.1","1.1","9","1.7","0.01","1.3"
"ジャム","3","0.2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"果汁･果汁飲料","6","0.3","0.1","0.1","0","0","0","0","17","0.8","1","0.2","0","0.2","0","0.1","0.01","0.7"
"きのこ類","3","0.1","0.3","0.5","0","0.1","0","0.1","32","1.4","0","0.1","0.1","0.9","0","0","0.01","1.7"
"海藻類","3","0.2","0.4","0.5","0","0.1","0.2","1.9","61","2.7","11","2.2","0.2","3","13","2.5","0.01","0.7"
"魚介類","104","5.6","12.8","18.6","4.8","8.4","0.6","6.7","186","8.2","31","6.1","0.7","9.9","16","2.9","0.06","6.8"
"生魚介類","57","3.1","7.5","10.8","2.6","4.5","0.1","1.3","119","5.2","10","2","0.4","5.4","9","1.7","0.03","3.4"
"あじ､いわし類","19","1","1.8","2.6","1.2","2.1","0","0.3","23","1","3","0.6","0.1","1.7","1","0.3","0","0.4"
"さけ､ます","10","0.5","1.2","1.8","0.5","0.8","0","0.1","20","0.9","1","0.2","0","0.3","2","0.3","0.01","0.9"
"たい､かれい類","4","0.2","0.6","0.9","0.1","0.2","0","0.1","12","0.5","1","0.2","0","0.1","0","0.1","0","0.4"
"まぐろ､かじき類","8","0.4","1.2","1.8","0.3","0.5","0","0.1","21","0.9","0","0.1","0.1","1","1","0.3","0","0.4"
"その他の生魚","9","0.5","1","1.4","0.5","0.8","0","0.1","18","0.8","1","0.1","0","0.6","3","0.5","0.01","0.7"
"貝類","2","0.1","0.2","0.4","0","0.1","0","0.2","4","0.2","1","0.3","0.1","1.1","1","0.1","0","0.1"
"いか､たこ類","4","0.2","0.8","1.2","0","0.1","0","0.3","11","0.5","1","0.1","0","0.1","1","0.1","0","0.2"
"えぴ､かに類","3","0.1","0.6","0.9","0","0","0","0.2","9","0.4","2","0.4","0","0.4","0","0","0","0.2"
"魚介加工品","47","2.6","5.4","7.7","2.2","3.8","0.5","5.4","67","3","21","4.1","0.3","4.5","7","1.2","0.03","3.4"
"魚介(塩蔵､生干し｡乾物)","32","1.7","3.9","5.7","1.7","2.9","0.3","3.5","53","2.3","15","3","0.2","2.4","6","1.1","0.02","2.9"
"魚介(缶詰)","5","0.3","0.4","0.6","0.3","0.6","0","0.2","4","0.2","0","0.1","0.1","1.2","0","0","0","0.1"
"魚介(佃煮)","1","0","0.1","0.1","0","0","0","0.1","1","0.1","2","0.4","0","0.1","0","0.1","0","0"
"魚介(練り製品)","9","0.5","0.9","1.3","0.2","0.3","0.1","1.5","8","0.4","3","0.6","0.1","0.8","0","0","0","0.3"
"魚肉ハム･ソーセージ","1","0","0","0.1","0","0","0","0.1","0","0","0","0.1","0","0","0","0","0","0.1"
"肉類","197","10.7","15.1","21.9","14.2","24.6","0.4","3.8","174","7.7","5","0.9","0.7","10.2","74","14","0.28","32.1"
"畜肉","157","8.5","10.6","15.3","11.9","20.6","0.3","3.5","125","5.5","3","0.6","0.5","6.8","2","0.5","0.26","30.1"
"牛肉","28","1.5","2","3","2.1","3.6","0","0.1","22","1","1","0.1","0.2","2.3","0","0.1","0.01","0.8"
"豚肉","88","4.8","6.5","9.4","6.4","11.1","0","0.3","72","3.2","2","0.3","0.2","3.1","2","0.3","0.19","22.2"
"ハム､ソーセージ類","40","2.2","2.1","3","3.4","5.9","0.3","3.1","31","1.3","1","0.2","0.1","1.4","0","0","0.06","7.1"
"その他の畜肉","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
