"","平成16年度(％)","平成17年度(％)","平成18年度(％)","平成19年度(％)","平成20年度(％)","平成21年度(％)","平成22年度(％)","平成23年度(％)","平成24年度(％)","平成25年度(％)"
"乳児院","98.0","97.9","99.5","97.2","97.4","95.9","95.9","95.5","96.4","95.1"
"児童養護施設","81.5","90.1","94.0","92.2","88.3","93.3","91.2","87.5","86.8","86.6"
