"発見者","総数(件)","総数(%)","65～69歳(件)","70～74歳(件)","75～79歳(件)","80歳～(件)"
"総数","3127","100","664","669","611","1183"
"内訳／家人","951","30.4 ","147","155","186","463"
"内訳／隣人","457","14.6 ","110","114","88","145"
"内訳／通行人","16","0.5 ","6","8","1","1"
"内訳／知人","386","12.4 ","115","104","67","100"
"内訳／保健・福祉","575","18.4 ","102","122","106","245"
"内訳／配達人","161","5.1 ","31","29","44","57"
"内訳／管理人","468","15.0 ","119","114","94","141"
"内訳／警察官","19","0.6 ","7","5","3","4"
"内訳／家政婦等","2","0.1 ","","","","2"
"内訳／その他","92","2.9 ","27","18","22","25"
"内訳／不詳","","0.0 ","","","",""
