"","総数／％","総数／人","15-19歳／％","15-19歳／人","20-29歳／％","20-29歳／人","30-39歳／％","30-39歳／人","40-49歳／％","40-49歳／人","50-59歳／％","50-59歳／人","60-69歳／％","60-69歳／人","70歳以上／％","70歳以上／人","(再掲)20歳以上／％","(再掲)20歳以上／"
"全数／総数","100.00","280","100.00","6","100.00","21","100.00","25","100.00","55","100.00","42","100.00","65","100.00","66","100.00","274"
"全数／<85cm(男)／90Cm(女)","67.50","189","83.30","5","85.70","18","72.00","18","69.10","38","61.90","26","67.70","44","60.60","40","67.20","184"
"全数／>=85cm(男)／90Cm(女)","32.50","91","16.70","1","14.30","3","28.00","7","30.90","17","38.10","16","32.30","21","39.40","26","32.80","90"
"男／総数","100.00","131","100.00","5","100.00","10","100.00","17","100.00","19","100.00","16","100.00","28","100.00","36","100.00","126"
"男／<85cm(男)","48.90","64","80.00","4","70.00","7","58.80","10","36.80","7","43.80","7","39.30","11","50.00","18","47.60","60"
"男／>=85cm(男)","51.10","67","20.00","1","30.00","3","41.20","7","63.20","12","56.30","9","60.70","17","50.00","18","52.40","66"
"女／総数","100.00","149","100.00","1","100.00","11","100.00","8","100.00","36","100.00","26","100.00","37","100.00","30","100.00","148"
"女／<90cm(女)","83.90","125","100.00","1","100.00","11","100.00","8","86.10","31","73.10","19","89.20","33","73.30","22","83.80","124"
"女／>=90cm(女)","16.10","24","0.00","0","0.00","0","0.00","0","13.90","5","26.90","7","10.80","4","26.70","8","16.20","24"
