"年度","全国(%)","東京(%)"
"9","3.4","4.1"
"10","4.1","4.9"
"11","4.7","5.5"
"12","4.7","5.0"
"13","5.0","5.2"
"14","5.4","5.6"
"15","5.3","5.0"
"16","4.7","5.0"
