"","屋内飼育(%)","屋外飼育(%)","屋外飼育／屋内と屋外の両方で飼育(%)","屋外飼育／屋外のみ(%)","屋内飼育猫の推定頭数(万頭)","屋外飼育猫の推定頭数(万頭)","屋外飼育猫の推定頭数／屋外のみ(万頭)"
"一戸建て","40.8","59.2","54.6","4.6","17.5","25.4","2.0"
"集合住宅","71.0","29.0","29.0","0.0","42.5","17.4","0.0"
"その他","0.0","100.0","100.0","0.0","0","2.4","0.0"
"全世帯","57.4","42.6","41.0","1.6","60.0","45.2","2.0"
