施設名,郵便番号,所在地,経度,緯度,座標系,電話番号
どんぐり,206-0823,稲城市平尾２－４９－２０,139.49362,35.60828,JGD2011,042-331-5666
神津島やすらぎの里,100-0601,神津島村字沢尻１１－１,139.13594,34.21703,JGD2011,04992-8-1171
