"","18年度","19年度","20年度","21年度","22年度"
"就職者数身体(人)","98","113","106","131","154"
"就職者数知的(人)","463","576","535","502","639"
"就職者数精神(人)","161","259","332","343","457"
"就職者数その他(人)","6","9","9","13","26"
"就職者数(合計)(人)","731","953","980","989","1274"
"継続支援者数","2126","2232","2587","3266","3723"
