"","正規職員(経営者・管理者を含む)","派遣・契約社員","非常勤・パート・アルバイト","自営業・家業"
"全体(71)(%)","53.5","15.5","29.6","1.4"
"男性(31)(%)","61.3","16.1","22.6","0.0"
"女性(40)(%)","47.5","15.0","35.0","2.5"
