"","8年度","8年度","9年度","9年度","10年度","10年度","8～10年度","8～10年度"
"NO2／短期型","0.877","0.877","0.817","0.808","0.899","0.911","0.895","0.896"
"NO2／長期型","0.886","0.886","0.887","0.883","0.948","0.951","0.887","0.888"
"SPM","0.293","0.533","0.482","0.443","0.907","0.924","0.496","0.646"
