"原因食物","平成21年度順位","平成21年度(％)","平成16年度(％)"
"卵","1","83.9","83.8"
"牛乳","2","36.3","35.0"
"小麦","3","12.9","11.5"
"落花生","7","6.6","7.6"
"大豆","5","7.8","10.6"
"キウイ","14","3.4","2.5"
"えび","6","7.3","6.7"
"ごま","13","3.9","0.0"
"いくら","4","8.5","10.9"
"くるみ","18","2.2","2.2"
"やまいも","9","5.1","3.9"
"バナナ","16","3.2","2.0"
"そば","10","4.6","5.6"
"カシューナッツ","","",""
"かに","10","4.6","4.5"
"さけ","14","3.4","1.7"
"鶏肉","12","4.4","5.6"
"さば","8","5.4","4.2"
"牛肉","18","2.2","3.1"
"豚肉","23","0.7","2.0"
"もも","26","0.2","0.8"
"りんご","21","1.2","0.3"
"グミ・ゼラチン","22","1.0","2.0"
"米","17","2.7","0.0"
"オレンジ","25","0.5","0.6"
"あわび","23","0.7","0.6"
"いか","18","2.2","2.8"
"まつたけ","26","0.2","0.3"
"その他","","14.8","19.3"
