"","就労移行率30%以上(％)","20％～30％未満(％)","10％～20％未満(％)","1％～10％未満(％)","0%(%)"
"25年度","44.1","10.2","14.8","4.2","26.7"
"24年度","41.3","11.2","14.1","5.3","28.2"
