"","平成11年(歳)","平成12年(歳)","平成13年(歳)","平成14年(歳)","平成15年(歳)","平成16年(歳)","平成17年(歳)","平成18年(歳)","平成19年(歳)"
"東京都","29.2","29.3","29.5","29.7","30.0","30.3","30.5","30.7","30.9"
"全国","27.9","28.0","28.2","28.3","28.6","28.9","29.1","29.2","29.4"
