"","コンサートや映画、スポーツなどの鑑賞、見物","スポーツやレジャーなどの活動","学習活動","趣味のサークル","ボランティア活動やNPO活動","障害者団体などの活動","参加できる活動場所がない","活動をしたいと思うことができない","活動したいと思わない","その他","無回答"
"25年度（2659人）(%)","27.8","18.9","7.7","14.2","5.6","5.6","2.3","26.2","20.5","7.3","3.9"
"20年度（2762人）(%)","25.6","16.3","7.4","15.9","5.9","4.9","1.6","26.8","19.8","8.1","5.1"
