"","男子／A群","男子／A群","男子／B群","男子／B群","男子／C群","男子／C群","男子／D群","男子／D群","男子／群","男子／年度","男子／群×年度","女子／A群","女子／A群","女子／B群","女子／B群","女子／C群","女子／C群","女子／D群","女子／D群","女子／群","女子／年度","女子／群×年度"
"<身長>／7年","142.4","8.19","142.8","7.99","142.7","8.72","142.2","7.81","","","","144.2","8.27","144.0","8.07","143.9","7.96","144.1","7.85","","",""
"<身長>／8年","142.4","8.03","141.3","8.38","142.5","8.14","142.9","8.55","","","","143.9","8.55","143.0","10.79","143.9","8.37","144.7","8.39","","",""
"<身長>／9年","142.5","8.48","142.9","8.48","143.5","8.33","143.1","8.61","","","","144.1","8.42","144.1","8.20","143.3","7.86","144.8","8.46","","",""
"<身長>／10年","142.2","8.15","142.8","8.00","142.8","8.55","142.7","8.46","","","","143.9","8.42","143.6","8.68","143.3","7.93","144.2","8.20","","",""
"<身長>／11年","142.4","8.34","142.5","8.58","143.4","8.08","143.1","8.57","","","","143.9","7.83","143.1","8.67","144.3","8.44","143.4","8.14","","",""
"<身長>／p値","","","","","","","","","0.077","0.129","0.734","","","","","","","","","0.071","0.617","0.323"
"<胸囲>／7年","69.3","6.69","70.0","6.96","70.4","7.26","71.2","8.16","","","","69.8","7.00","68.7","7.09","70.7","7.61","71.6","7.94","","",""
"<胸囲>／8年","70.8","6.81","69.8","7.36","72.1","7.86","73.0","8.24","","","","70.8","6.92","69.9","7.77","71.8","7.02","73.2","7.78","","",""
"<胸囲>／9年","70.0","7.23","70.8","7.97","71.5","7.89","71.0","7.47","","","","70.3","7.45","70.0","7.38","69.9","7.02","71.4","8.13","","",""
"<胸囲>／10年","70.1","7.83","70.3","7.61","71.0","7.48","70.9","7.83","","","","70.4","7.70","70.4","8.42","70.3","7.35","70.9","7.72","","",""
"<胸囲>／11年","69.9","7.63","70.5","8.01","72.2","8.25","71.7","7.83","","","","70.2","7.41","69.9","7.19","71.1","7.32","71.0","8.02","","",""
"<胸囲>／p値","","","","","","","","","0.000","0.000","0.020","","","","","","","","","0.000","0.000","0.016"
"<年齢>／7年","11.14","0.86","11.15","0.83","11.00","0.87","11.05","0.84","","","","11.11","0.88","11.06","0.86","11.02","0.84","11.04","0.84","","",""
"<年齢>／8年","11.19","0.86","11.01","0.90","11.05","0.83","11.09","0.87","","","","11.10","0.88","11.09","0.85","11.08","0.85","11.12","0.85","","",""
"<年齢>／9年","11.11","0.86","11.16","0.82","11.12","0.87","11.10","0.83","","","","11.15","0.82","11.11","0.85","11.02","0.86","11.13","0.87","","",""
"<年齢>／10年","11.07","0.86","11.17","0.86","11.03","0.86","11.11","0.86","","","","11.12","0.84","11.08","0.88","11.07","0.83","11.11","0.87","","",""
"<年齢>／11年","11.07","0.87","11.05","0.86","11.07","0.84","11.10","0.88","","","","11.11","0.85","11.04","0.87","11.14","0.89","10.99","0.89","","",""
"<年齢>／p値","","","","","","","","","0.102","0.593","0.123","","","","","","","","","0.148","0.547","0.339"
