"","調定額(円)","収納額(円)","還付未済額(別掲)(円)","不納欠損額(円)","未収額(円)","居所不明者分調定額(円)","収納率(%)"
"現年分","342389116946","298383293015","645981938","92933546","43912890385","211059783","87.2"
"滞繰分","96387299362","28128485324","47150082","20565308827","47693505211","253454818","29.26"
"計","438776416308","326511778339","693132020","20658242373","91606395596","464514601","74.49"
