"","２～３日に１回(%)","４～７日（１週間）に１回(%)","２週間に１回(%)","１か月に１回(%)","ほとんど話をしない(%)"
"全体","2.9","1.1","0.4","0.2","0.7"
"15-18歳男性","2.3","1.1","1.1","","1.0"
"15-18歳女性","1.4","0.7","","",""
"19-23歳男性","3.8","0.9","","0.7","0.9"
"19-23歳女性","3.0","1.5","0.6","","0.5"
