"","早朝(5時～8時)(％)","夜勤(20時～22時)(％)","深夜勤務(22時～5時)(％)","土曜出勤(％)","日曜・祝日出勤(％)"
"小5の父親","13.2","25.2","13.0","47.3","33.9"
"小5の母親","4.9","5.9","2.6","33.4","19.9"
"中2の父親","12.3","23.4","12.1","47.8","33.5"
"中2の母親","6.0","6.1","2.7","38.6","24.7"
