"朝食欠食の状況","島しょ全体(%)","大島出張所管内(%)","大島町(%)","利島村(%)","新島村(%)","神津島村(%)"
"食べないことがある","5.7","4.7","4.7","8.8","4.6","3.2"
"ほとんど毎日食べない","7.0","7.8","6.6","0.0","5.1","1.1"
