"","なんとも思わない","かっこいい","かっこ悪い"
"保護者の喫煙なし／n=328(人)","218","4","106"
"保護者の喫煙なし／n=328(%)","66.5","1.2","32.3"
"保護者の喫煙あり／n=269(人)","191","10","68"
"保護者の喫煙あり／n=269(%)","71.0","3.7","25.3"
