"年度","よくある(%)","ときどきある(%)","ほとんどない(%)","まったくない(%)","無回答(%)"
"24","0.2","4.6","20.6","74.1","0.5"
"19","0.8","7.9","23.1","67.8","0.3"
"14","1.3","8.8","23.5","65.6","0.7"
"9","0.8","11.8","27.3","60.0","0.1"
