"(単位 世帯 人)","全国／ひとり親世帯総数","全国／母子世帯","全国／父子世帯","東京都／ひとり親世帯総数","東京都／母子世帯","東京都／父子世帯"
"H2","653682","551977","101705","62988","53304","9684"
"H7","617712","529631","88081","58605","50577","8028"
"H12","713277","625904","87373","67938","59754","8184"
"H17","841333","749048","92285","74092","65693","8399"
"H22","844661","755972","88689","65814","58706","7108"
