"","低所得(％)","非低所得(％)"
"新しい（誰かのお古でない）洋服","4.8","2.1"
"最低２足のサイズの合った靴","4.9","1.7"
"冬用のダウンジャケット・ダウンコート","9.8","1.8"
"自分専用のふとんまたはベッド","3.1","1.6"
"家の中で勉強ができる場所","9.7","3.6"
"インターネットにつながるパソコン","20.8","12.4"
"電子辞書","17.3","8.5"
"自分の部屋","20.6","12.8"
"月5,000円ほどの自分で自由に使えるお金","13.8","8.6"
"スマートホン","3.9","0.8"
"友人と遊びに出かけるお金","12.2","5.4"
"自分に投資するお金","31.6","19.8"
